,target,target_audio,sample_type,literal_sentiment
0,诗,audio/single-syllable/sample.wav,single-syllable,0
1,诗,audio/single-syllable/sample.wav,single-syllable,0
2,诗,audio/single-syllable/sample.wav,single-syllable,0
3,诗,audio/single-syllable/sample.wav,single-syllable,0
4,诗,audio/single-syllable/sample.wav,single-syllable,0
5,大妈,audio/two-syllable/sample.wav,two-syllable,0
6,大妈,audio/two-syllable/sample.wav,two-syllable,0
7,大妈,audio/two-syllable/sample.wav,two-syllable,0
8,大妈,audio/two-syllable/sample.wav,two-syllable,0
9,大妈,audio/two-syllable/sample.wav,two-syllable,0
10,滑雪场教练。,audio/short-sentence/sample.wav,short-sentence,0
11,滑雪场教练。,audio/short-sentence/sample.wav,short-sentence,0
12,滑雪场教练。,audio/short-sentence/sample.wav,short-sentence,0
13,滑雪场教练。,audio/short-sentence/sample.wav,short-sentence,0
14,滑雪场教练。,audio/short-sentence/sample.wav,short-sentence,0
15,苍蝇蚊子到处飞,audio/discourse/sample.wav,discourse,1
16,苍蝇蚊子到处飞,audio/discourse/sample.wav,discourse,1
17,苍蝇蚊子到处飞,audio/discourse/sample.wav,discourse,1
18,苍蝇蚊子到处飞,audio/discourse/sample.wav,discourse,1
19,苍蝇蚊子到处飞,audio/discourse/sample.wav,discourse,1
